timestamp,mqtt_messages,websocket_messages,db_inserts,skipped,errors,success_rate
2025-05-14T08:17:49.060Z,1187,11191,11793,0,585,95.27
2025-05-14T08:19:17.550Z,6,0,6,0,0,100.00
2025-05-14T08:19:47.557Z,6,0,6,0,0,100.00
2025-05-14T08:20:25.839Z,6,0,6,0,0,100.00
2025-05-14T08:20:55.885Z,6,0,6,0,0,100.00
2025-05-14T08:21:27.243Z,6,0,6,0,0,100.00
2025-05-14T08:21:57.244Z,6,0,6,0,0,100.00
2025-05-14T08:22:30.600Z,6,0,6,0,0,100.00
2025-05-14T08:23:00.600Z,6,0,6,0,0,100.00
2025-05-14T08:23:30.601Z,6,0,6,0,0,100.00
2025-05-14T08:24:00.614Z,6,0,6,0,0,100.00
2025-05-14T08:24:30.615Z,6,0,6,0,0,100.00
2025-05-14T08:25:00.615Z,6,0,6,0,0,100.00
2025-05-14T08:25:30.615Z,6,0,6,0,0,100.00
2025-05-14T08:26:00.624Z,6,0,6,0,0,100.00
2025-05-14T08:26:30.624Z,6,0,6,0,0,100.00
2025-05-14T08:27:00.624Z,6,0,6,0,0,100.00
2025-05-14T08:27:30.625Z,6,0,6,0,0,100.00
2025-05-14T08:28:00.625Z,6,0,6,0,0,100.00
2025-05-14T08:28:30.625Z,32,150,182,0,0,100.00
2025-05-14T08:29:00.627Z,62,324,386,0,0,100.00
2025-05-14T08:29:33.477Z,91,492,520,0,0,89.19
2025-05-14T08:30:03.479Z,124,684,808,0,0,100.00
2025-05-14T08:30:33.826Z,154,852,1006,0,0,100.00
2025-05-14T08:31:05.549Z,184,1026,1170,0,0,96.69
2025-05-14T08:31:35.550Z,216,1212,1428,0,0,100.00
2025-05-14T08:32:05.564Z,246,1380,1626,0,0,100.00
2025-05-14T08:32:36.023Z,275,1548,1823,0,0,100.00
2025-05-14T08:33:07.977Z,306,1728,1973,0,0,97.00
2025-05-14T08:33:37.987Z,338,1914,2252,0,0,100.00
2025-05-14T08:34:07.987Z,368,2078,2443,0,0,99.88
2025-05-14T08:34:37.991Z,397,2250,2647,0,0,100.00
2025-05-14T08:35:08.002Z,427,2424,2851,0,0,100.00
2025-05-14T08:35:38.016Z,457,2598,3055,0,0,100.00
2025-05-14T08:36:08.018Z,487,2766,3253,0,0,100.00
2025-05-14T08:36:38.033Z,517,2940,3457,0,0,100.00
2025-05-14T08:37:08.037Z,547,3114,3655,0,0,99.84
2025-05-14T08:37:38.051Z,576,3282,3858,0,0,100.00
2025-05-14T08:38:08.052Z,606,3450,4056,0,0,100.00
2025-05-14T08:38:38.053Z,636,3624,4260,0,0,100.00
2025-05-14T08:39:08.062Z,666,3798,4464,0,0,100.00
2025-05-14T08:39:38.075Z,696,3972,4668,0,0,100.00
2025-05-14T08:40:08.085Z,726,4140,4866,0,0,100.00
2025-05-14T08:40:38.093Z,756,4314,5070,0,0,100.00
2025-05-14T08:41:08.093Z,785,4482,5267,0,0,100.00
2025-05-14T08:41:38.099Z,815,4656,5471,0,0,100.00
2025-05-14T08:42:08.114Z,845,4824,5669,0,0,100.00
2025-05-14T08:42:38.119Z,875,4998,5873,0,0,100.00
2025-05-14T08:43:08.125Z,917,5238,6155,0,0,100.00
2025-05-14T08:43:38.128Z,977,5586,6563,0,0,100.00
2025-05-14T08:44:08.127Z,1035,5922,6957,0,0,100.00
2025-05-14T08:44:38.136Z,1095,6264,7359,0,0,100.00
2025-05-14T08:45:08.150Z,1155,6612,7767,0,0,100.00
2025-05-14T08:45:38.150Z,1215,6954,8169,0,0,100.00
2025-05-14T08:46:08.150Z,1274,7296,8570,0,0,100.00
2025-05-14T08:46:38.150Z,1334,7632,8965,0,0,99.99
2025-05-14T08:47:08.161Z,1393,7980,9373,0,0,100.00
2025-05-14T08:47:38.168Z,1453,8322,9775,0,0,100.00
2025-05-14T08:48:08.168Z,1513,8670,10183,0,0,100.00
2025-05-14T08:48:38.176Z,1572,9006,10578,0,0,100.00
2025-05-14T08:49:08.184Z,1632,9354,10986,0,0,100.00
2025-05-14T08:49:38.184Z,1691,9690,11381,0,0,100.00
2025-05-14T08:50:08.186Z,1751,10038,11789,0,0,100.00
2025-05-14T08:50:38.200Z,1810,10374,12184,0,0,100.00
2025-05-14T08:51:08.205Z,1870,10722,12592,0,0,100.00
2025-05-14T08:51:38.206Z,1930,11064,12994,0,0,100.00
2025-05-14T08:52:08.212Z,1964,11256,13220,0,0,100.00
2025-05-14T08:52:38.223Z,1993,11430,13423,0,0,100.00
2025-05-14T08:53:08.223Z,2023,11598,13621,0,0,100.00
2025-05-14T08:53:38.223Z,2053,11772,13825,0,0,100.00
2025-05-14T08:54:08.224Z,2083,11946,14029,0,0,100.00
2025-05-14T08:54:38.225Z,2113,12120,14233,0,0,100.00
2025-05-14T08:55:08.225Z,2143,12288,14431,0,0,100.00
2025-05-14T08:55:38.225Z,2173,12462,14635,0,0,100.00
2025-05-14T08:56:08.226Z,2202,12630,14832,0,0,100.00
2025-05-14T08:56:38.241Z,2232,12804,15036,0,0,100.00
2025-05-14T08:57:08.249Z,2262,12972,15234,0,0,100.00
2025-05-14T08:57:38.250Z,2292,13146,15438,0,0,100.00
2025-05-14T08:58:08.262Z,2322,13320,15642,0,0,100.00
2025-05-14T08:58:38.268Z,2352,13494,15844,0,0,99.99
2025-05-14T08:59:08.268Z,2381,13656,16037,0,0,100.00
2025-05-14T08:59:38.282Z,2411,13830,16241,0,0,100.00
2025-05-14T09:00:08.288Z,2441,14004,16445,0,0,100.00
2025-05-14T09:00:38.302Z,2471,14178,16649,0,0,100.00
2025-05-14T09:01:08.302Z,2501,14346,16847,0,0,100.00
2025-05-14T09:01:38.302Z,2530,14514,17044,0,0,100.00
2025-05-14T09:02:08.303Z,2560,14688,17248,0,0,100.00
2025-05-14T09:02:38.304Z,2590,14862,17452,0,0,100.00
2025-05-14T09:03:08.317Z,2620,15036,17656,0,0,100.00
2025-05-14T09:03:38.320Z,2650,15204,17854,0,0,100.00
2025-05-14T09:04:08.317Z,2680,15378,18058,0,0,100.00
2025-05-14T09:04:38.319Z,2709,15546,18255,0,0,100.00
2025-05-14T09:05:08.333Z,2739,15720,18459,0,0,100.00
2025-05-14T09:05:38.344Z,2769,15888,18657,0,0,100.00
2025-05-14T09:06:08.353Z,2799,16062,18861,0,0,100.00
2025-05-14T09:06:38.360Z,2829,16236,19065,0,0,100.00
